Country,Gender,Age,Education,Profession,Work_status,Household_members,Income_level,Location_of_residence,Public_transport_service,Car_driving_license,Number_vehicles_in_household,Know_what_car_sharing_is,Would_subsribe_car_sharing_if_available,Most_frequent_trip_Walk,Most_frequent_trip_Bicycle,Most_frequent_trip_Car_as_Driver,Most_frequent_trip_Car_as_Passenger,Most_frequent_trip_Train,Most_frequent_trip_Underground_or_light_train,Most_frequent_trip_Tram,Most_frequent_trip_Bus,Most_frequent_trip_Motorcycle_or_moped,Destination_most_frequent_trip,Frequency_most_frequent_trip,Problem_most_frequent_trip_Congestion,Problem_most_frequent_trip_Parking,Problem_most_frequent_trip_Lack_of_bicycle_lanes,Problem_most_frequent_trip_Infrequent_public_transport,Problem_most_frequent_trip_Lack_of_public_transport_coverage,Problem_most_frequent_trip_none,Transfers_between_modes_during_frequent_trip,Frequent_trip_duration_in_minutes,Frequent_trip_distance,Concern_environmental_impacts,Preference_tolls_or_traffic_limitation,Considering_electric_or_hybrid_vehicle_next_purchase
27,1,1,3,10,1,3,2,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,8,0,1
28,0,4,2,1,0,3,4,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,5,1,0
9,0,1,3,6,0,2,2,2,2,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,0,0,1
17,1,3,3,10,1,5,2,0,2,1,0,0,0,1,1,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1,3,4,5,1,0
9,1,3,2,0,0,3,3,1,3,1,2,1,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,1,9,1,1
18,0,3,3,1,0,2,3,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,2,5,5,0,0
21,1,1,3,10,1,2,4,3,2,1,1,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,2,3,4,1,0
15,0,3,2,3,1,1,2,2,2,1,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,1,0,7,1,0
15,0,1,3,10,1,3,3,2,2,1,3,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,2,3,2,0,0
2,1,3,2,3,1,4,3,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,2,5,1,0
