9000 22
1,09 2,01 4,103.08 5,103.12 6,103.04 7,103.09 8,2.255500059 9,-0.009700262 10,0.077639752 11,103.08 21,103.08 22,103.08
1,09 2,01 3,1 4,103.09 5,103.27 6,103.09 7,103.23 8,7.766000278 9,-0.13561949 10,0.174604714 11,103.18 12,0.097012029 18,3.896512073 19,0.070710678 20,0.070710678 21,103.13 22,103.13
1,09 2,01 3,2 4,103.24 5,103.25 6,103.19 7,103.24 8,8.979500319 10,0.058145169 11,103.22 12,0.038767203 13,0.135816841 17,0.097012029 18,3.583535836 19,0.072111026 20,0.072111026 21,103.16 22,103.16
1,09 2,01 3,3 4,103.24 5,103.27 6,103.16 7,103.16 8,2.905000088 9,0.077549438 10,0.106630477 11,103.215 12,-0.004844022 13,0.033921303 14,0.13096624 17,0.038767203 18,3.214588057 19,0.021794495 20,0.064983972 21,103.17375 22,103.17375
1,09 2,01 3,4 4,103.16 5,103.16 6,103.15 7,103.15 8,1.025000026 9,0.009694619 10,0.009694619 11,103.155 12,-0.058131086 13,-0.062972292 14,-0.024229502 15,0.072759022 17,-0.004844022 18,4.157483779 19,0.036170891 20,0.056899033 21,103.17 22,103.17
1,09 2,01 3,5 4,103.16 5,103.22 6,103.14 7,103.21 8,3.190500101 9,-0.048444918 10,0.077564475 11,103.18 12,0.024235374 13,-0.0339098 14,-0.03875218 16,0.097012029 17,-0.058131086 18,1.176527452 19,0.030138569 20,0.027156951 21,103.19 22,103.1716667
1,09 2,01 3,6 4,103.22 5,103.22 6,102.9 7,102.9 8,10.74300035 9,0.310981535 10,0.310981535 11,103.06 12,-0.116301609 13,-0.092094421 14,-0.150171971 15,-0.155008719 16,-0.116301609 17,0.024235374 18,5.101783689 19,0.0633114 20,0.064942282 21,103.166 22,103.1557143
1,09 2,01 3,7 4,102.89 5,103.08 6,102.79 7,102.96 8,28.89850096 9,-0.067987568 10,0.282128612 11,102.935 12,-0.12128857 13,-0.237449118 14,-0.213271291 15,-0.271278399 16,-0.276109281 17,-0.116301609 18,13.21340084 19,0.122508503 20,0.112993363 21,103.109 22,103.128125
1,09 2,01 3,8 4,102.96 5,103.12 6,102.8 7,103.11 8,48.7165016 9,-0.145475706 10,0.311284047 11,102.96 12,0.024287172 13,-0.097030856 14,-0.213219616 15,-0.189035917 16,-0.247057114 17,-0.12128857 18,18.99281509 19,0.066143783 20,0.110713594 21,103.058 22,103.1094444
1,09 2,01 3,9 4,103.11 5,103.19 6,102.93 7,103.04 8,28.46400094 9,0.067934783 10,0.252598854 11,103.06 12,0.097125097 13,0.121435858 15,-0.116301609 16,-0.092094421 17,0.024287172 18,11.5693973 19,0.066143783 20,0.097236824 21,103.039 22,103.1045
1,09 2,01 3,10 4,103.04 5,103.08 6,102.93 7,103.08 8,15.2140005 9,-0.038804812 10,0.145730108 11,103.005 12,-0.053366971 13,0.043706294 14,0.06800408 15,-0.053366971 16,-0.169606513 17,0.097125097 18,16.87277825 19,0.050083264 20,0.056942954 21,103.004 22,103.097
1,09 2,01 3,11 4,103.08 5,103.16 6,102.99 7,103.11 8,16.27650054 9,-0.029095141 10,0.165064569 11,103.075 12,0.067957866 13,0.014554628 14,0.111693862 15,0.13600816 16,0.014554628 17,-0.053366971 18,7.362365829 19,0.036855574 20,0.060889244 21,103.007 22,103.0865
1,09 2,01 3,12 4,103.12 5,103.15 6,103.05 7,103.09 8,18.72200063 9,0.029100786 10,0.097040272 11,103.1 12,0.024254184 13,0.092228533 14,0.038812342 15,0.135975136 16,0.160295332 17,0.067957866 18,1.798862691 19,0.049244289 20,0.05667892 21,103.04 22,103.0745
1,09 2,01 3,13 4,103.1 5,103.19 6,102.95 7,103.02 8,11.5220003 9,0.077654824 10,0.233122875 11,103.07 12,-0.029097963 13,-0.004850837 14,0.063103733 15,0.009703086 16,0.106837607 17,0.024254184 18,3.661187147 19,0.016072751 20,0.035106979 21,103.062 22,103.06
1,09 2,01 3,14 4,103.02 5,103.08 6,102.79 7,102.8 8,13.80400031 9,0.214007782 10,0.282128612 11,102.935 12,-0.130978946 13,-0.160038797 14,-0.13582343 15,-0.067957866 16,-0.12128857 17,-0.029097963 18,3.67954381 19,0.087891979 20,0.066951475 21,103.037 22,103.038
1,09 2,01 3,15 4,102.8 5,102.83 6,102.56 7,102.64 8,28.97600075 9,0.155884645 10,0.26326053 11,102.695 12,-0.233156847 13,-0.363830407 14,-0.392822502 15,-0.368663594 16,-0.300956264 17,-0.130978946 18,9.487177778 19,0.189934199 20,0.16930003 21,102.975 22,102.9895
1,09 2,01 3,16 4,102.63 5,102.85 6,102.59 7,102.84 8,15.79600037 9,-0.2042007 10,0.253436007 11,102.72 12,0.024343931 13,-0.208869675 14,-0.339575046 15,-0.3685742 16,-0.344409411 17,-0.233156847 18,8.244898135 19,0.131940643 20,0.190046047 21,102.904 22,102.9555
1,09 2,01 3,17 4,102.76 5,102.85 6,102.55 7,102.6 8,3.601500072 9,0.155945419 10,0.292540224 11,102.7 12,-0.019470405 13,0.004868786 14,-0.228299412 15,-0.358979334 16,-0.387972842 17,0.024343931 18,12.69043953 19,0.013228757 20,0.170051463 21,102.824 22,102.932
1,09 2,02 4,102.74 5,102.84 6,102.67 7,102.79 8,1.809000032 9,-0.048642864 10,0.16557904 11,102.755 12,0.053554041 13,0.034073209 14,0.058425435 15,-0.174867635 16,-0.305617541 17,-0.019470405 18,7.610903062 19,0.027838822 20,0.100087462 21,102.761 22,102.9115
1,09 2,02 3,1 4,102.79 5,102.81 6,102.75 7,102.79 8,1.390500034 10,0.058394161 11,102.78 12,0.024329716 13,0.077896787 14,0.058411215 15,0.082769366 16,-0.150580463 17,0.053554041 18,1.174501299 19,0.040926764 20,0.036571847 21,102.73 22,102.8835
1,09 2,02 3,2 4,102.79 5,102.82 6,102.78 7,102.82 8,1.167000026 9,-0.029177203 10,0.038918077 11,102.8 12,0.019459039 13,0.043793489 14,0.097370983 15,0.07788162 16,0.10224451 17,0.024329716 18,0.325898376 19,0.022546249 20,0.041291646 21,102.751 22,102.863
1,09 2,02 3,3 4,102.82 5,102.84 6,102.81 7,102.81 8,0.994500021 9,0.00972668 10,0.029180041 11,102.825 12,0.024319066 13,0.043782837 14,0.068123206 15,0.121713729 16,0.102219626 17,0.019459039 18,0.1985466 19,0.022546249 20,0.047775517 21,102.772 22,102.838
1,09 2,02 3,4 4,102.81 5,102.81 6,102.73 7,102.73 8,1.405000028 9,0.077874039 10,0.077874039 11,102.77 12,-0.053488938 13,-0.029182879 14,-0.009729519 15,0.01459783 16,0.068159688 17,0.024319066 18,0.206119103 19,0.027537853 20,0.027248853 21,102.786 22,102.805
1,09 2,02 3,5 4,102.73 5,102.76 6,102.68 7,102.74 8,2.040500049 9,-0.009733307 10,0.077911959 11,102.72 12,-0.04865233 13,-0.102115244 14,-0.077821012 15,-0.058377116 16,-0.034061603 17,-0.053488938 18,0.527017803 19,0.052519838 20,0.039115214 21,102.779 22,102.77
1,09 2,02 3,6 4,102.75 5,102.78 6,102.57 7,102.58 8,3.398000075 9,0.165724313 10,0.204738228 11,102.675 12,-0.043808411 13,-0.092439428 14,-0.14587892 15,-0.121595331 16,-0.102159953 17,-0.04865233 18,1.018063176 19,0.047521925 20,0.060683606 21,102.758 22,102.744
1,09 2,02 3,7 4,102.58 5,102.64 6,102.39 7,102.47 8,15.21950033 9,0.107348492 10,0.244164469 11,102.515 12,-0.155831507 13,-0.199571651 14,-0.248126885 15,-0.301483102 16,-0.277237354 17,-0.043808411 18,7.248870289 19,0.107741976 20,0.118078364 21,102.701 22,102.726
1,09 2,02 3,8 4,102.48 5,102.54 6,101.76 7,101.96 8,37.29350091 9,0.510003923 10,0.766509434 11,102.15 12,-0.356045457 13,-0.511322133 14,-0.554906542 15,-0.603288898 16,-0.656455142 17,-0.155831507 18,17.20423566 19,0.269087966 20,0.251430905 21,102.566 22,102.669
1,09 2,02 3,9 4,101.95 5,102.09 6,101.88 7,102.03 8,17.1115004 9,-0.078408311 10,0.206124853 11,101.985 12,-0.161527166 13,-0.516997513 14,-0.672023375 15,-0.715537383 16,-0.763841588 17,-0.356045457 18,12.23488394 19,0.271216396 20,0.326178632 21,102.409 22,102.5975
1,09 2,02 3,10 4,102.02 5,102.1 6,101.92 7,101.96 8,17.92300043 9,0.058846607 10,0.176609105 11,102.01 12,0.024513409 13,-0.137053353 14,-0.492610837 15,-0.647674702 16,-0.691199377 17,-0.161527166 18,11.42503075 19,0.08892881 20,0.311139036 21,102.267 22,102.523
1,09 2,02 3,11 4,101.97 5,101.97 6,101.58 7,101.82 8,22.91900051 9,0.147318798 10,0.383933845 11,101.775 12,-0.230369572 13,-0.205912634 14,-0.367107195 15,-0.721845584 16,-0.876552228 17,0.024513409 18,3.144985604 19,0.129067166 20,0.274239859 21,102.087 22,102.4225
1,09 2,02 3,12 4,101.81 5,101.82 6,101.5 7,101.69 8,31.04350071 9,0.118005704 10,0.315270936 11,101.66 12,-0.11299435 13,-0.343103617 14,-0.318674315 15,-0.479686735 16,-0.834024289 17,-0.230369572 18,6.622122619 19,0.178395628 20,0.19606759 21,101.916 22,102.3085
1,09 2,02 3,13 4,101.69 5,102.03 6,101.52 7,101.95 8,37.87050086 9,-0.255026974 10,0.502364066 11,101.775 12,0.113122172 14,-0.230369572 15,-0.205912634 16,-0.367107195 17,-0.11299435 18,7.485127445 19,0.066395281 20,0.1506403 21,101.841 22,102.2035
1,09 2,02 3,14 4,101.96 5,102 6,101.4 7,101.41 8,43.45750099 9,0.542352825 10,0.591715976 11,101.7 12,-0.073691968 13,0.039346842 14,-0.073691968 15,-0.303891775 16,-0.279452861 17,0.113122172 18,6.21731325 19,0.058380933 20,0.13571109 21,101.784 22,102.0965
1,09 2,02 3,15 4,101.4 5,101.63 6,100.72 7,100.92 8,40.08200075 9,0.475624257 10,0.903494837 11,101.175 12,-0.516224189 13,-0.589535741 14,-0.477080464 15,-0.589535741 16,-0.818547201 17,-0.073691968 18,2.813636554 19,0.326917421 20,0.252006944 21,101.617 22,101.942
1,09 2,02 3,16 4,100.91 5,100.91 6,100.43 7,100.66 8,19.23700022 9,0.248360819 10,0.477944837 11,100.67 12,-0.499135162 13,-1.012782694 14,-1.085728322 15,-0.97383435 16,-1.085728322 17,-0.516224189 18,13.11831231 19,0.515032361 20,0.469486422 21,101.396 22,101.7415
1,09 2,02 3,17 4,100.67 5,100.77 6,100.32 7,100.41 8,32.26150071 9,0.258938353 10,0.448564593 11,100.545 12,-0.124168074 13,-0.622683469 14,-1.135693215 15,-1.208548268 16,-1.096793232 17,-0.499135162 18,10.53020957 19,0.333554094 20,0.567346896 21,101.173 22,101.5445
1,09 2,02 3,18 4,100.41 5,100.55 6,100.16 7,100.47 8,66.76400184 9,-0.059719319 10,0.389376997 11,100.355 12,-0.188970113 13,-0.312903546 14,-0.810476896 15,-1.322517207 16,-1.395234586 17,-0.124168074 18,24.5590312 19,0.158613787 20,0.54565786 21,100.889 22,101.365
1,09 2,02 3,19 4,100.46 5,100.49 6,100.35 7,100.48 8,36.89700124 9,-0.019904459 10,0.139511709 11,100.42 12,0.064770066 13,-0.124322443 14,-0.248336148 15,-0.746231777 16,-1.258603736 17,-0.188970113 18,18.72586524 19,0.09656604 20,0.326163303 21,100.633 22,101.2085
1,09 2,02 3,20 4,100.48 5,100.62 6,100.45 7,100.52 8,28.214001 9,-0.039793076 10,0.169238427 11,100.535 12,0.11451902 13,0.17936326 14,-0.009945795 15,-0.13410152 16,-0.632567334 17,0.064770066 18,20.22183137 19,0.091150059 20,0.121911853 21,100.505 22,101.061
1,09 2,02 3,21 4,100.53 5,100.66 6,100.42 7,100.43 8,3.978500079 9,0.099571841 10,0.238996216 11,100.54 12,0.004973392 13,0.119498108 14,0.184345573 15,-0.004972898 16,-0.129134797 17,0.11451902 18,17.06058673 19,0.067884706 20,0.086703518 21,100.479 22,100.9375
1,09 2,03 4,100.4 5,100.55 6,100.38 7,100.44 8,10.28050035 9,-0.039824771 10,0.169356446 11,100.465 12,-0.074597175 13,-0.069627493 14,0.04481179 15,0.109610881 16,-0.079566363 17,0.004973392 18,12.57434662 19,0.041932485 20,0.078469739 21,100.463 22,100.818
1,09 2,03 3,1 4,100.47 5,100.58 6,100.45 7,100.55 8,9.78250034 9,-0.079562407 10,0.129417621 11,100.515 12,0.049768576 13,-0.024865725 14,-0.019893569 15,0.094602669 16,0.159434009 17,-0.074597175 18,3.503560818 19,0.038188131 20,0.051356596 21,100.495 22,100.692
1,09 2,03 3,2 4,100.55 5,100.75 6,100.55 7,100.69 8,8.754000301 9,-0.13904062 10,0.198906017 11,100.65 12,0.134308312 13,0.184143732 14,0.10940919 15,0.114388024 16,0.22903804 17,0.049768576 18,0.778462023 19,0.095699181 20,0.067767987 21,100.541 22,100.587
1,09 2,03 3,3 4,100.72 5,100.72 6,100.62 7,100.65 8,7.344000245 9,0.069547938 10,0.09938382 11,100.67 12,0.01987084 13,0.15420584 14,0.204051162 15,0.12930177 16,0.134281593 17,0.134308312 18,1.224213707 19,0.084310932 20,0.088501412 21,100.568 22,100.5365
1,09 2,03 3,4 4,100.64 5,100.69 6,100.63 7,100.68 8,5.067000164 9,-0.039729837 10,0.059624366 11,100.66 12,-0.009933446 13,0.00993542 14,0.144257076 15,0.194097447 16,0.11935548 17,0.01987084 18,1.86041212 19,0.01 20,0.095039465 21,100.592 22,100.5355
