local_current_A,local_current_B,local_current_C,local_ir,local_voltage_A,local_voltage_B,local_voltage_C,remote_current_A,remote_current_B,remote_current_C,remote_ir,remote_voltage_A,remote_voltage_B,remote_voltage_C,fault_type
9440.949241096741,2147.6872552982354,1776.2407000908283,9140.139049605983,110878.18217975636,242402.8081260684,241021.109575494,2132.622925427041,2106.903372988556,1752.7542082638383,1601.7196695211442,193990.5559421636,227704.92164118364,223930.0862931767,0
9469.45658122682,2145.5754926042778,1774.3917464403464,9142.476026279575,110942.85746387894,242633.38861601352,240778.76380662664,2108.130391125467,2104.352986072515,1751.633872408963,1602.4197257975347,194130.21021918274,227709.03513120013,223906.4040453734,0
9980.233603011739,2135.1989075376223,1753.8724890649557,9507.607327438303,113017.17267597122,245330.80180520474,237830.7868023982,1982.7837180904667,2086.9545059923903,1739.5497153353847,1672.0063605611426,195805.74038500953,227812.03547144236,223566.4944404898,0
8941.995615925012,2088.9444591727333,1764.4681814119863,8180.167906798875,141675.2906219132,247704.06345610903,226747.3075407407,1591.4887822409303,2043.2081339075075,1758.9735779347645,1421.1235840425693,205982.02824200346,227263.4498718872,223060.52925249998,0
7573.672668493908,2020.3984465121778,1808.5678855013475,6302.907076718121,173822.7891417069,245192.47969847044,218620.9900607169,1079.991840047894,1979.8531964032254,1809.3454070905973,1098.021843261007,215626.20322533319,226544.12469751426,223051.24574033677,0
1780.690346136223,9222.573581758683,2150.685231217079,9132.001153895684,241344.55245864514,111454.91764829506,241875.37218864934,1753.9299460756588,2313.9657740637913,2112.4563695767647,1595.1318281062536,223883.99546037277,194340.32668826042,227638.15180693232,1
1779.6043332187812,9233.838010252606,2149.445145010395,9123.307673378029,241083.80013932879,111599.71384839498,242091.23657385938,1753.2841221000324,2296.063418684478,2110.990917571203,1593.7856394863281,223860.61827167764,194500.07376994606,227641.3112747232,1
1770.9285738913718,9305.468656583753,2135.610805655268,9003.33106686523,238405.6758216398,114252.0071873967,244033.72749354644,1749.003254250378,2115.5633045727227,2095.1786382444293,1574.2507389607028,223640.1857271939,196296.09085653746,227646.02716226652,1
1772.5351717968242,8929.655044852923,2070.294686153051,8042.18244624813,226835.02854521727,141721.74947430257,247626.4054362256,1765.8415547184122,1462.844142901458,2027.3281092933676,1403.8768935810406,222939.6280603156,206115.76057872662,227351.38354232293,1
1809.8993162747224,7593.732281545653,2014.6620676105822,6319.134516654271,218807.33564262712,173415.5028381824,245244.17601161465,1811.113389941788,1076.7263139086815,1976.8619102780376,1099.2635796330592,223018.46375056138,215666.18277296814,226470.73121650008,1
2149.3794012298954,1775.883223774885,9382.125674054536,9067.04563389696,242704.29638554802,240740.29274564824,110845.6023232171,2110.163825964668,1750.0266342317275,2111.786714924487,1582.9431283692657,227772.8044633084,223850.54700430992,193984.00309372242,2
2149.2870882608777,1771.687963006456,9495.780519926178,9163.368995286173,242449.1433146487,241019.21023256844,110880.9430351678,2107.2190690610723,1749.190339586779,2099.4703935974226,1603.4323401767108,227744.0966360233,223882.26821481463,194074.09938609003,2
2133.5254018637183,1753.310151650099,9875.91173538936,9351.720137674389,244910.5273061083,238108.01381151687,112857.2744339785,2083.4998577435217,1741.7050572114056,1911.6327124045492,1641.8623033795686,227771.8111287807,223623.36923805464,195770.4838115269,2
2090.2588632080697,1764.3159938972715,9042.402896491938,8286.925079480494,247682.647714886,226699.42403527518,141965.69040862357,2044.7893872021232,1756.1009988644762,1604.2023527762462,1438.1964929172336,227267.1527146282,223064.34856287765,206075.99582217445,2
2020.8357826467843,1807.963349044819,7608.492225750705,6342.1853907574005,245158.82532727587,218863.0572884007,173508.09186091626,1980.52036991068,1808.264387111872,1081.4757734388759,1103.6424379154878,226552.22626005337,223058.5053129016,215642.8281733836,2
15926.556753484483,13991.577675745499,1959.1180995659045,0.09717173503627163,123120.13965661547,131708.15835854615,222655.14889199648,2936.0772987541886,4819.097151715659,1945.0337479023563,0.017062055321797345,192140.19032512157,172748.54881361802,224766.981799795,3
15934.588983992999,14000.942193397097,1959.1174455269158,0.09631768979659248,122265.4762814947,131724.0013024296,222655.05715117234,2926.8750189976413,4811.045895153307,1945.0326133328392,0.0167539018642975,194309.68952663938,173165.4802165555,224766.87918809438,3
15995.353276701364,14088.154862859705,1959.1171293157568,0.09510736292235085,131965.61024910392,123122.02330609225,222655.0313322365,2792.1248653450084,4701.900242224024,1945.0313531298643,0.01638907075025493,199203.96417019994,172923.98740066076,224766.77973147726,3
14672.198609811207,13066.802908974394,1959.1162661770184,0.09426410766755318,177034.0789313773,107465.86972841178,222655.01702547085,1738.2212968199751,3666.4513358482063,1945.03012170472,0.016129010397295453,216193.3737246748,178912.0079974697,224766.666213571,3
12229.79513472338,11041.26538427968,1959.11712774942,0.09510565093351502,209222.3911359385,130775.29859058229,222655.03133233124,754.2451264752301,2555.2154988533084,1945.0313535758519,0.01638877581667973,228495.2463805634,192797.90865392037,224766.779729736,3
1959.114196647917,15941.484487164193,14030.919723932006,0.09667826760770692,222654.86278718413,120464.11649036416,134182.38778560687,1945.0269218389117,2826.000989918047,4726.002204791133,0.01680677700027683,224765.8720513356,191896.5650274086,173810.34479753397,4
1959.1141966324112,15985.327044187377,14081.370381983605,0.09667825020726188,222654.8627871874,121430.02765298639,133140.422834708,1945.0269218433202,2800.9865140195857,4707.102873405423,0.01680677396533604,224765.87205132982,192296.04538440442,173686.5154225047,4
1959.1146936053124,16364.602602917405,14532.866473509665,0.09532180711647038,222655.00380988177,131330.35999136057,123447.81817945314,1945.0271250634987,2607.491509970355,4548.469718510424,0.01635726816354357,224765.9344747562,195726.6196240534,173196.27764434027,4
1959.1257269411417,15186.153926572431,13551.365639833402,0.0966781581097447,222655.9045764427,176219.9366977068,108017.46606850496,1945.0406010493978,1900.8527174684054,3829.5999780719417,0.017136263961627925,224767.59813587094,215771.24667277123,179552.90733995746,4
1959.1270809290575,12378.889701071905,11164.290628114692,0.09665466031185917,222656.01411292216,209194.08883392328,130954.91977691637,1945.0412169234585,807.6240405003826,2618.644613891565,0.017134728153982863,224767.64048047908,228062.50354752384,192973.628109591,4
13828.201558812252,1959.1111828849012,15721.006971004543,0.08821494667955414,132578.27306522502,222654.99930860157,121598.51057743184,4644.500739082279,1945.0288459815201,2737.7235044301583,0.01503745854310241,173205.12244309057,224766.44533721605,192646.8630313094,5
13852.609230002809,1959.1111828699202,15734.382136840279,0.08821493081923909,131546.02138367842,222654.99930856502,122544.30029964949,4605.028761773689,1945.0288459859069,2691.016404031262,0.01503745582562176,173079.928136098,224766.4453371719,193040.6754192806,5
14473.411719587342,1959.1138302642173,16239.90525987138,0.09563385632349908,121788.37630757931,222654.68524406693,132095.14652971982,4360.771643513684,1945.0264514841617,2415.8140385329693,0.016856736744814402,172065.0973659692,224766.08040488712,196763.74905364934,5
13780.116785947832,1959.1238087947208,15436.995718399745,0.09676330543081238,108254.5408602437,222655.62091331152,175955.25640514767,3928.335590732005,1945.0385125297346,1997.5560340685754,0.017331148875952457,178644.95103001015,224767.47610701123,214667.05296374945,5
11221.67879648714,1959.124972599724,12443.82311679459,0.09696145693249762,130846.70670234416,222655.81544676158,208981.42975070456,2641.751947673091,1945.0393589006678,828.6616251317481,0.017157045089512178,192447.28993742008,224767.56315702776,227468.2958570391,5
16599.507518316208,14188.232789408097,1957.9635255946519,5544.532070547997,80942.61367809285,94066.13801840483,245823.3810967555,3283.727647624812,4462.454765150782,1920.4339876783824,945.6782241390745,181005.33741235817,173711.10016372785,226133.74542776955,6
