Secs_since_last_brk,Z1_0,CS1_0,IBIS_ACC-1_0,RULParts
4820936,1.836061239,0.949127793,0.634077549,8233
3426099,1.968737602,1.026715875,0.685980558,18414
15053090,1.813608527,0.970761895,0.654280603,2095
19420807,2.078212976,0.922549963,0.666689515,49
9249217,1.726060271,0.941939175,0.642969906,6187
1020480,2.031547546,1.0227741,0.679569006,18414
2196486,1.594332099,0.982570171,0.629317045,8233
17055332,2.01651454,1.000038862,0.655370057,49
1741977,2.053781509,1.023538351,0.676030159,18414
19431876,2.081778765,0.941793084,0.660474658,49
2237994,1.773760796,0.952445865,0.630020142,8233
1998659,1.74928689,0.994878113,0.63061136,8233
11017040,1.838926196,0.985348344,0.649037182,6187
7738527,1.966103673,0.976470053,0.688086092,16368
19241730,1.919194102,0.924238145,0.66738987,49
1765112,2.0533216,0.998933673,0.677331746,18414
2513376,1.989248872,0.999848545,0.6813218,18414
16418566,2.153394222,1.014363885,0.660810053,2095
17335562,1.978145719,1.016088128,0.659860909,49
18553380,2.078382254,1.000144243,0.66467458,49
5406373,1.909076095,0.993623257,0.636500359,8233
7147496,1.804039359,0.96789217,0.637959957,8233
8363088,1.874089718,0.976880431,0.640636802,8233
1302661,2.212560654,1.016179562,0.673602223,18414
7818669,1.821849465,0.990403533,0.685912669,16368
6751391,1.938318372,0.985247254,0.682932854,16368
15723835,1.887846947,0.96387583,0.656830847,2095
3035035,2.12310648,1.022700548,0.681405544,18414
6035317,1.992130876,0.962293506,0.68570447,16368
4126322,1.754819512,0.9728567,0.632212698,8233
9663450,1.952309012,0.945822179,0.642599821,6187
6629977,1.802854419,0.990321755,0.687334299,16368
15724441,1.963928342,0.974299073,0.655590355,2095
4211270,1.828336596,0.967692077,0.633680642,8233
7298681,1.912915111,0.986183286,0.690963089,16368
9022837,1.882703662,0.959474623,0.688738704,16368
2232157,1.795918345,0.989435315,0.628541172,8233
15903117,2.103235245,1.024105191,0.656695187,2095
2868866,2.026297808,1.008435369,0.68237251,18414
14495363,1.756300449,0.96385473,0.652430058,4141
1982501,1.711990595,0.941780806,0.632473469,8233
10871601,2.132188559,0.972638845,0.649021626,6187
20455384,2.026329756,0.967639983,0.670767665,49
16961693,2.109868288,1.004585266,0.659160674,2095
20591547,1.976539254,0.953552783,0.671609938,49
20546573,1.954816937,0.955454051,0.670325518,49
3784866,1.760108829,0.97346884,0.631608248,8233
2460217,1.7340343,0.995897055,0.632802606,8233
11960161,1.791684031,0.921354949,0.647337675,6187
9514851,1.85458529,0.946339905,0.642548501,6187
1836095,1.965653181,0.998327494,0.679909527,18414
4941539,1.799380064,0.953321755,0.640770376,8233
91858,1.713020444,0.967914104,0.626363993,8233
6080291,2.067374706,0.985859334,0.688444734,16368
6654692,1.850517511,1.011624336,0.636021554,8233
17362321,2.006246567,1.007353306,0.659985662,49
2823069,2.012150288,1.002778411,0.683235168,18414
19240674,1.846096635,0.94786787,0.66520679,49
6468523,1.861448884,0.963016331,0.68498987,16368
1163471,2.148535967,1.015466213,0.675934851,18414
6448936,1.845486879,0.991705418,0.637433112,8233
16344651,2.017401218,1.028407574,0.653998494,2095
602537,2.092348099,1.027554393,0.673504055,18414
10761527,1.913663745,0.996995628,0.644509494,6187
17593568,2.002861023,1.004338264,0.657609165,49
7340786,1.835164785,0.996390045,0.688172579,16368
3541734,1.841591597,0.96959424,0.687373877,18414
2460000,2.023884773,1.002342105,0.682504773,18414
10757878,1.858605623,0.996908605,0.648479939,6187
8243165,1.961111069,0.936249614,0.68671912,16368
20085,2.002896309,1.008776307,0.67177701,18414
2456134,2.027623177,1.00570786,0.680015564,18414
14420811,1.919855475,0.982242465,0.651520252,4141
2524617,2.006531477,1.004011273,0.678895473,18414
6825859,1.658854961,0.969971418,0.635053217,8233
15833558,1.904235721,1.01015079,0.659065366,2095
8232442,1.966544271,0.953767836,0.689570248,16368
31032,1.791281939,0.970440388,0.62781024,8233
19202513,2.137480974,1.00307858,0.660911679,49
18766399,2.071074963,1.000755191,0.666039884,49
1797111,2.002321005,0.981768847,0.678274572,18414
3038886,2.107480288,1.002748728,0.683438599,18414
18814354,2.007483244,1.006106138,0.666249812,49
8245622,1.954226017,0.949274838,0.687259734,16368
12090236,1.846691489,0.942568958,0.648380637,4141
16844622,2.044056892,1.014355659,0.659305513,2095
4137594,1.805709362,0.964271486,0.632973075,8233
1045626,1.972253323,1.00377357,0.675162196,18414
6439622,1.84012866,0.962165892,0.686728776,16368
1873371,1.584092379,0.97406888,0.628089249,8233
1737944,1.785173535,0.959941268,0.630407393,8233
